"","pitcher","year","inning_role","length_role","matchup_role","leverage_role"
"160",596057,2021,"none","short","none","low"
"161",622088,2021,"none","short","LHH","high"
"162",650893,2021,"none","short","none","high"
"163",664789,2021,"late","short","LHH","low"
"164",519076,2021,"none","short","none","none"
"165",571521,2021,"none","short","none","low"
"166",643778,2021,"none","short","LHH","low"
"167",605195,2021,"none","short","none","none"
"168",621249,2021,"none","short","none","low"
"169",592233,2021,"late","short","RHH","high"
"170",455119,2021,"none","short","none","high"
"171",641582,2021,"none","short","none","low"
"172",661403,2021,"late","short","none","high"
"173",518886,2021,"late","short","none","high"
"174",606965,2021,"none","short","none","high"
"175",554431,2021,"none","short","none","high"
"176",605309,2021,"middle","short","LHH","none"
"177",475479,2021,"none","short","none","high"
"178",465657,2021,"late","short","none","none"
"179",596001,2021,"none","none","none","low"
"180",572193,2021,"none","short","none","high"
"181",592865,2021,"none","short","LHH","low"
"182",598264,2021,"none","short","none","high"
"183",608032,2021,"late","short","none","high"
"184",621345,2021,"none","short","none","high"
"185",641302,2021,"none","none","RHH","low"
"186",451584,2021,"late","short","none","low"
"187",607219,2021,"none","short","none","low"
"188",570663,2021,"none","short","none","high"
"189",571710,2021,"none","short","none","high"
"190",615698,2021,"start",NA,NA,NA
"191",453192,2021,"none","short","none","low"
"192",657240,2021,"none","short","none","high"
"193",670280,2021,"late","short","none","none"
"194",605447,2021,"late","short","none","high"
"195",608717,2021,"none","short","none","none"
"196",608349,2021,"none","short","none","high"
"197",621366,2021,"none","short","none","low"
"198",641394,2021,"none","short","RHH","none"
"199",622065,2021,"none","short","none","none"
"200",656464,2021,"none","short","none","low"
"201",595465,2021,"none","short","none","low"
"202",594795,2021,"none","short","RHH","none"
"203",458681,2021,"start",NA,NA,NA
"204",657277,2021,"start",NA,NA,NA
"205",502171,2021,"start",NA,NA,NA
"206",621121,2021,"start",NA,NA,NA
"207",668676,2021,"start",NA,NA,NA
"208",623167,2021,"start",NA,NA,NA
"209",501985,2021,"start",NA,NA,NA
"210",542881,2021,"start",NA,NA,NA
"211",554430,2021,"start",NA,NA,NA
"212",527054,2021,"start",NA,NA,NA
"213",621111,2021,"start",NA,NA,NA
"214",642092,2021,"none","none","none","low"
"215",669203,2021,"start",NA,NA,NA
"216",518774,2021,"start",NA,NA,NA
"217",656557,2021,"none","long","none","none"
"218",641816,2021,"start",NA,NA,NA
"219",621244,2021,"start",NA,NA,NA
"220",453562,2021,"start",NA,NA,NA
"221",592351,2021,"start",NA,NA,NA
"222",608344,2021,"start",NA,NA,NA
"223",592761,2021,"none","none","RHH","low"
"224",605397,2021,"start",NA,NA,NA
"225",548389,2021,"none","long","none","low"
"226",450203,2021,"start",NA,NA,NA
"227",446372,2021,"start",NA,NA,NA
"228",685503,2021,"start",NA,NA,NA
"229",448179,2021,"start",NA,NA,NA
"230",425794,2021,"start",NA,NA,NA
"231",502042,2021,"start",NA,NA,NA
"232",663765,2021,"none","none","none","low"
"233",669294,2021,"none","none","none","low"
"234",677960,2021,"none","long","RHH","low"
"235",642152,2021,"late","short","none","high"
"236",608665,2021,"late","short","none","high"
"237",622694,2021,"none","long","LHH","low"
"238",592644,2021,"middle","none","none","high"
"239",621295,2021,"none","short","none","none"
"240",640444,2021,"none","none","none","low"
"241",656794,2021,"none","none","none","low"
"242",606303,2021,"none","short","none","none"
"243",642528,2021,"none","short","none","high"
"244",667463,2021,"none","short","RHH","high"
"245",608718,2021,"none","short","RHH","high"
"246",676979,2021,"none","short","none","high"
"247",543521,2021,"middle","short","none","none"
"248",641755,2021,"none","short","none","none"
"249",663986,2021,"none","short","none","low"
"250",445276,2021,"late","short","none","high"
"251",491624,2021,"none","short","none","high"
"252",448855,2021,"none","none","none","low"
"253",605280,2021,"none","short","none","high"
"254",622075,2021,"none","short","none","none"
"255",456713,2021,"none","short","none","low"
"256",503285,2021,"none","short","RHH","high"
"257",605359,2021,"none","short","none","high"
"258",608648,2021,"none","short","none","high"
"259",453268,2021,"late","short","none","high"
"260",572143,2021,"none","short","RHH","low"
"261",595014,2021,"none","short","none","high"
"262",643338,2021,"none","short","none","high"
"263",660600,2021,"none","short","none","low"
"264",624647,2021,"none","short","LHH","high"
"265",476595,2021,"none","short","RHH","none"
"266",606160,2021,"none","short","none","high"
"267",592135,2021,"none","short","none","low"
"268",660623,2021,"start",NA,NA,NA
"269",605242,2021,"none","short","none","high"
"270",458708,2021,"none","short","none","low"
"271",592169,2021,"none","short","none","low"
"272",542947,2021,"none","short","none","high"
"273",573124,2021,"late","short","RHH","high"
"274",592426,2021,"none","short","none","high"
"275",664948,2021,"none","short","none","none"
"276",657044,2021,"none","short","RHH","high"
"277",571670,2021,"late","short","none","high"
"278",622250,2021,"none","short","none","none"
"279",517008,2021,"late","short","none","high"
"280",622253,2021,"none","short","RHH","high"
"281",519443,2021,"none","short","none","low"
"282",501625,2021,"none","short","none","none"
"283",542914,2021,"none","short","none","high"
"284",605151,2021,"none","short","none","high"
"285",622251,2021,"none","short","none","none"
"286",647315,2021,"none","short","none","low"
"287",664208,2021,"middle","short","none","none"
"288",456501,2021,"start",NA,NA,NA
"289",607644,2021,"start",NA,NA,NA
"290",545333,2021,"start",NA,NA,NA
"291",518876,2021,"start",NA,NA,NA
"292",666200,2021,"start",NA,NA,NA
"293",579328,2021,"start",NA,NA,NA
"294",543135,2021,"start",NA,NA,NA
"295",605483,2021,"start",NA,NA,NA
"296",641154,2021,"start",NA,NA,NA
"297",664299,2021,"none","long","LHH","none"
"298",571760,2021,"start",NA,NA,NA
"299",622608,2021,"start",NA,NA,NA
