"","pitcher","year","inning_role","length_role","matchup_role","leverage_role"
"695",595191,2021,"start",NA,NA,NA
"696",642758,2021,"none","short","RHH","low"
"697",663378,2021,"none","none","none","low"
"698",670057,2021,"middle","long","RHH","low"
"699",676879,2021,"none","long","RHH","none"
"700",546991,2021,"late","medium","none","low"
"701",600921,2021,"middle","short","none","high"
"702",663992,2021,"none","short","none","high"
"703",543456,2021,"none","short","none","low"
"704",641995,2021,"late","short","none","low"
"705",491703,2021,"none","short","LHH","none"
"706",605388,2021,"middle","short","LHH","high"
"707",649144,2021,"none","long","RHH","low"
"708",596825,2021,"late","medium","RHH","low"
"709",600887,2021,"none","short","none","low"
"710",665155,2021,"late","short","none","low"
"711",668820,2021,"start",NA,NA,NA
"712",621057,2021,"none","none","none","low"
"713",592831,2021,"middle","none","RHH","low"
"714",605276,2021,"none","none","LHH","high"
"715",605240,2021,"none","short","RHH","low"
"716",541640,2021,"none","short","none","low"
"717",681806,2021,"middle","short","none","none"
"718",595284,2021,"late","short","RHH","low"
"719",621433,2021,"late","short","none","low"
"720",680430,2021,"late","short","LHH","low"
"721",657093,2021,"start",NA,NA,NA
"722",595881,2021,"middle","none","none","low"
"723",670456,2021,"none","short","none","low"
"724",502210,2021,"late","short","RHH","low"
"725",571871,2021,"none","short","RHH","low"
"726",596082,2021,"none","short","RHH","low"
"727",663753,2021,"none","none","none","low"
"728",628345,2021,"none","short","LHH","none"
"729",472610,2021,"none","short","none","none"
"730",594311,2021,"none","short","RHH","low"
"731",591720,2021,"late","none","RHH","low"
"732",597113,2021,"middle","short","LHH","low"
"733",596056,2021,"late","short","RHH","low"
"734",657053,2021,"start",NA,NA,NA
"735",680686,2021,"start",NA,NA,NA
"736",668665,2021,"middle","none","none","none"
"737",594580,2021,"none","short","none","low"
"738",683232,2021,"none","short","none","none"
"739",625643,2021,"none","short","none","low"
"740",571479,2021,"none","short","none","low"
"741",595798,2021,"middle","medium","LHH","low"
"742",658305,2021,"none","none","none","none"
"743",607455,2021,"none","short","none","none"
"744",543351,2021,"none","short","none","none"
"745",519008,2021,"none","short","none","high"
"746",656212,2021,"start",NA,NA,NA
"747",643493,2021,"none","short","RHH","low"
"748",547179,2021,"none","none","LHH","high"
"749",642336,2021,"late","short","none","low"
"750",573127,2021,"late","short","none","low"
"751",661440,2021,"none","short","none","low"
"752",643565,2021,"late","short","none","low"
"753",461325,2021,"late","short","none","high"
"754",592879,2021,"start",NA,NA,NA
"755",670766,2021,"none","long","none","low"
"756",623454,2021,"none","long","none","low"
"757",471911,2021,"start",NA,NA,NA
"758",621074,2021,"none","short","none","none"
"759",605194,2021,"none","none","none","low"
"760",655889,2021,"none","short","none","high"
"761",620396,2021,"none","short","none","high"
"762",656620,2021,"middle","short","LHH","none"
"763",657228,2021,"none","none","none","low"
"764",669912,2021,"none","short","none","low"
"765",608700,2021,"late","short","RHH","low"
"766",641384,2021,"late","short","LHH","low"
"767",681810,2021,"middle","short","RHH","high"
"768",622786,2021,"none","short","RHH","none"
"769",543258,2021,"none","short","none","low"
"770",641632,2021,"none","short","RHH","low"
"771",594809,2021,"late","short","LHH","low"
"772",641672,2021,"none","none","none","none"
"773",656457,2021,"none","none","RHH","none"
"774",643230,2021,"none","none","RHH","low"
"775",674944,2021,"middle","short","none","low"
"776",457915,2021,"none","none","none","low"
"777",665661,2021,"none","short","none","low"
"778",643400,2021,"none","medium","RHH","low"
"779",623474,2021,"none","short","none","none"
"780",661563,2021,"start",NA,NA,NA
"781",621259,2021,"late","none","RHH","low"
"782",543278,2021,"late","medium","LHH","high"
"783",670050,2021,"middle","short","none","high"
"784",621381,2021,"none","short","RHH","low"
"785",446099,2021,"late","short","LHH","low"
"786",672282,2021,"start",NA,NA,NA
"787",641726,2021,"none","long","none","low"
"788",606162,2021,"late","short","RHH","low"
"789",592407,2021,"late","short","RHH","low"
"790",650959,2021,"middle","short","none","low"
"791",520980,2021,"late","short","none","low"
"792",677865,2021,"none","short","none","none"
"793",676103,2021,"late","short","none","low"
"794",592858,2021,"none","short","none","high"
"795",534812,2021,"late","short","RHH","low"
"796",676050,2021,"none","short","RHH","low"
"797",608650,2021,"none","long","RHH","low"
"798",571788,2021,"late","short","RHH","low"
"799",660620,2021,"late","short","RHH","low"
"800",596071,2021,"none","none","RHH","low"
"801",571800,2021,"none","long","none","none"
"802",543045,2021,"middle","short","RHH","low"
"803",592273,2021,"late","medium","none","low"
"804",472551,2021,"none","short","none","low"
"805",664682,2021,"none","none","none","low"
"806",607680,2021,"late","short","RHH","low"
"807",519242,2021,"start",NA,NA,NA
"808",623437,2021,"none","short","RHH","low"
"809",607054,2021,"late","short","none","low"
"810",656669,2021,"late","short","RHH","low"
"811",642851,2021,"late","short","none","low"
"812",623465,2021,"none","short","none","none"
"813",543883,2021,"middle","none","none","low"
"814",600944,2021,"late","medium","LHH","low"
"815",543594,2021,"none","long","RHH","low"
"816",660906,2021,"none","short","none","low"
"817",461865,2021,"late","short","none","low"
"818",656818,2021,"none","long","none","low"
"819",607457,2021,"none","none","RHH","none"
"820",665896,2021,"none","none","none","low"
"821",452027,2021,"none","long","RHH","low"
"822",571951,2021,"none","medium","RHH","low"
"823",621112,2021,"start",NA,NA,NA
"824",592716,2021,"start",NA,NA,NA
"825",660422,2021,"none","medium","RHH","low"
"826",595939,2021,"start",NA,NA,NA
"827",605541,2021,"none","none","none","low"
"828",519048,2021,"late","short","none","low"
"829",656578,2021,"none","long","none","low"
"830",656641,2021,"middle","none","RHH","low"
"831",665795,2021,"start",NA,NA,NA
"832",676766,2021,"none","short","none","low"
"833",502593,2021,"middle","short","none","high"
"834",650668,2021,"start",NA,NA,NA
"835",624427,2021,"none","short","none","low"
"836",502748,2021,"none","long","none","low"
"837",665625,2021,"middle","short","none","low"
"838",669935,2021,"none","long","none","low"
"839",642659,2021,"middle","medium","LHH","low"
"840",664139,2021,"none","short","none","low"
"841",664123,2021,"none","short","none","none"
"842",457759,2021,"late","short","LHH","low"
"843",596103,2021,"late","short","LHH","low"
"844",657248,2021,"start",NA,NA,NA
"845",681867,2021,"middle","long","none","low"
"846",663372,2021,"start",NA,NA,NA
"847",676083,2021,"start",NA,NA,NA
"848",676710,2021,"none","long","none","low"
"849",670167,2021,"none","short","none","low"
"850",667725,2021,"middle","none","RHH","low"
"851",642759,2021,"none","short","LHH","low"
"852",641329,2021,"middle","short","RHH","low"
"853",518489,2021,"none","short","none","none"
"854",502085,2021,"late","short","none","none"
"855",607755,2021,"none","short","none","high"
"856",593604,2021,"middle","short","LHH","high"
"857",642028,2021,"none","none","RHH","low"
"858",657624,2021,"late","short","LHH","low"
"859",656290,2021,"none","none","none","low"
"860",505447,2021,"none","short","RHH","low"
"861",657746,2021,"start",NA,NA,NA
"862",661383,2021,"none","short","none","low"
"863",518435,2021,"none","short","none","low"
"864",670087,2021,"middle","short","RHH","high"
"865",657508,2021,"none","short","none","low"
"866",665645,2021,"none","short","none","none"
"867",571912,2021,"late","short","none","low"
"868",663558,2021,"none","short","none","low"
"869",656240,2021,"none","none","LHH","low"
"870",623433,2021,"late","short","none","low"
"871",642100,2021,"none","short","none","none"
"872",621098,2021,"middle","short","RHH","none"
"873",672391,2021,"none","short","none","low"
"874",657376,2021,"none","long","none","low"
"875",657756,2021,"none","long","none","low"
"876",669358,2021,"start",NA,NA,NA
"877",543238,2021,"none","short","RHH","low"
"878",661527,2021,"none","short","none","low"
"879",666818,2021,"none","short","none","low"
"880",607216,2021,"none","short","none","low"
"881",669169,2021,"none","long","LHH","low"
"882",646242,2021,"none","long","RHH","low"
"883",658431,2021,"none","none","none","low"
"884",663853,2021,"late","short","RHH","low"
"885",622663,2021,"start",NA,NA,NA
"886",669395,2021,"none","short","none","low"
"887",664584,2021,"none","short","RHH","high"
"888",663567,2021,"none","long","none","low"
"889",641712,2021,"start",NA,NA,NA
"890",573109,2021,"late","short","LHH","low"
"891",642770,2021,"none","short","none","low"
"892",642727,2021,"middle","short","RHH","low"
"893",672582,2021,"none","long","RHH","low"
"894",664196,2021,"middle","long","LHH","low"
"895",672710,2021,"start",NA,NA,NA
"896",664294,2021,"none","short","none","low"
"897",676617,2021,"none","none","LHH","low"
"898",592789,2021,"start",NA,NA,NA
"899",665665,2021,"none","short","none","low"
"900",668968,2021,"start",NA,NA,NA
"901",672851,2021,"start",NA,NA,NA
"902",607352,2021,"middle","long","none","high"
"903",675911,2021,"start",NA,NA,NA
"904",662253,2021,"none","short","none","low"
"905",622554,2021,"none","short","none","low"
"906",607067,2021,"start",NA,NA,NA
"907",669276,2021,"none","short","none","low"
"908",675971,2021,"late","short","none","low"
"909",658648,2021,"none","long","none","low"
"910",668881,2022,"start",NA,NA,NA
"911",642547,2022,"start",NA,NA,NA
"912",607200,2022,"start",NA,NA,NA
"913",446372,2022,"start",NA,NA,NA
"914",669373,2022,"start",NA,NA,NA
"915",573186,2022,"start",NA,NA,NA
"916",641927,2022,"start",NA,NA,NA
"917",656557,2022,"none","long","none","high"
"918",615698,2022,"start",NA,NA,NA
"919",571927,2022,"start",NA,NA,NA
"920",660761,2022,"start",NA,NA,NA
"921",669432,2022,"start",NA,NA,NA
"922",656686,2022,"none","long","none","low"
"923",666120,2022,"start",NA,NA,NA
"924",543101,2022,"start",NA,NA,NA
"925",664353,2022,"start",NA,NA,NA
"926",471911,2022,"start",NA,NA,NA
"927",663804,2022,"none","none","none","low"
"928",547943,2022,"start",NA,NA,NA
"929",656629,2022,"none","none","none","low"
"930",621107,2022,"start",NA,NA,NA
"931",622608,2022,"start",NA,NA,NA
"932",669060,2022,"none","none","none","none"
"933",594835,2022,"start",NA,NA,NA
"934",663903,2022,"start",NA,NA,NA
"935",656756,2022,"start",NA,NA,NA
"936",628711,2022,"start",NA,NA,NA
"937",642770,2022,"none","short","none","none"
"938",669330,2022,"none","none","none","low"
"939",622503,2022,"none","none","none","none"
"940",669952,2022,"none","none","none","low"
"941",675921,2022,"start",NA,NA,NA
"942",641726,2022,"none","long","none","low"
"943",621389,2022,"none","none","RHH","low"
"944",660730,2022,"start",NA,NA,NA
"945",643316,2022,"none","short","none","low"
"946",592761,2022,"none","none","RHH","low"
"947",663765,2022,"none","none","none","low"
"948",676710,2022,"none","long","none","low"
"949",670990,2022,"none","short","none","none"
"950",656794,2022,"none","none","none","none"
"951",621383,2022,"none","none","RHH","low"
"952",656222,2022,"none","none","RHH","high"
"953",605156,2022,"none","none","none","low"
"954",670036,2022,"none","short","none","low"
"955",657376,2022,"none","long","none","high"
"956",543521,2022,"middle","short","none","high"
"957",656271,2022,"middle","short","RHH","none"
"958",664337,2022,"none","long","none","low"
"959",592804,2022,"late","none","none","low"
"960",663559,2022,"none","none","RHH","low"
"961",468504,2022,"middle","short","none","none"
"962",676103,2022,"late","short","none","low"
"963",663158,2022,"none","short","none","high"
"964",608718,2022,"none","short","RHH","low"
"965",663423,2022,"none","short","none","low"
"966",663460,2022,"start",NA,NA,NA
"967",669467,2022,"none","short","none","none"
"968",607216,2022,"none","short","none","none"
"969",660896,2022,"none","short","none","low"
"970",640444,2022,"none","none","none","high"
"971",681810,2022,"middle","short","RHH","low"
"972",528748,2022,"none","long","none","low"
"973",518553,2022,"none","short","none","low"
"974",642100,2022,"none","short","none","low"
"975",548389,2022,"none","long","none","none"
"976",669459,2022,"middle","short","none","none"
"977",570666,2022,"none","short","none","low"
"978",613534,2022,"none","short","none","low"
"979",669618,2022,"late","short","none","high"
"980",664208,2022,"middle","short","none","none"
"981",596057,2022,"none","short","none","low"
"982",677865,2022,"none","short","none","high"
"983",592741,2022,"middle","short","none","low"
"984",592866,2022,"none","long","none","low"
"985",605538,2022,"none","short","none","high"
"986",641793,2022,"none","short","none","low"
"987",621593,2022,"none","short","none","low"
"988",623465,2022,"none","short","none","high"
"989",475479,2022,"none","short","none","low"
"990",665621,2022,"none","long","none","low"
"991",642758,2022,"none","short","RHH","high"
"992",642048,2022,"none","short","none","none"
"993",518617,2022,"none","short","none","high"
"994",593974,2022,"none","short","none","high"
"995",669212,2022,"none","short","none","high"
"996",605151,2022,"none","short","none","high"
"997",445926,2022,"none","short","none","none"
"998",663574,2022,"none","short","none","high"
"999",502085,2022,"late","short","none","high"
"1000",642528,2022,"none","short","none","high"
"1001",606424,2022,"none","short","none","none"
"1002",642585,2022,"late","short","none","high"
"1003",606160,2022,"none","short","none","high"
"1004",543056,2022,"none","short","none","low"
"1005",570663,2022,"none","short","none","high"
"1006",641329,2022,"middle","short","RHH","none"
"1007",502202,2022,"none","short","none","high"
"1008",623474,2022,"none","short","none","high"
"1009",664584,2022,"none","short","RHH","low"
"1010",622250,2022,"none","short","none","low"
"1011",661383,2022,"none","short","none","none"
"1012",594580,2022,"none","short","none","high"
"1013",623352,2022,"late","short","RHH","high"
"1014",642152,2022,"late","short","none","high"
"1015",642701,2022,"none","short","none","high"
"1016",571710,2022,"none","short","none","high"
"1017",608678,2022,"none","short","none","high"
"1018",592390,2022,"none","short","none","none"
"1019",608348,2022,"late","short","none","low"
"1020",592094,2022,"none","short","none","high"
"1021",593576,2022,"none","short","none","high"
"1022",542888,2022,"none","short","none","low"
"1023",657240,2022,"none","short","none","low"
"1024",605195,2022,"none","short","none","low"
"1025",641401,2022,"none","short","none","none"
"1026",489334,2022,"middle","short","none","low"
"1027",621381,2022,"none","short","RHH","high"
"1028",663432,2022,"none","short","none","high"
"1029",542914,2022,"none","short","none","high"
"1030",671345,2022,"none","short","none","low"
"1031",657024,2022,"none","short","none","high"
"1032",641941,2022,"none","short","none","high"
"1033",642207,2022,"late","short","none","high"
"1034",656954,2022,"none","none","RHH","low"
"1035",640448,2022,"late","short","none","high"
"1036",605521,2022,"none","short","none","none"
"1037",656529,2022,"none","short","RHH","low"
"1038",448281,2022,"none","short","none","high"
"1039",641582,2022,"none","short","none","low"
"1040",476595,2022,"none","short","RHH","none"
"1041",664199,2022,"none","short","none","high"
"1042",605488,2022,"none","none","RHH","none"
"1043",595345,2022,"none","short","none","high"
"1044",667463,2022,"none","short","RHH","none"
"1045",519151,2022,"late","short","LHH","high"
"1046",608665,2022,"late","short","none","high"
"1047",669912,2022,"none","short","none","low"
"1048",518489,2022,"none","short","none","high"
"1049",664776,2022,"none","short","none","none"
"1050",643511,2022,"none","short","none","none"
"1051",660813,2022,"none","short","none","high"
"1052",605135,2022,"start",NA,NA,NA
"1053",607074,2022,"start",NA,NA,NA
"1054",605540,2022,"start",NA,NA,NA
"1055",608344,2022,"start",NA,NA,NA
"1056",672851,2022,"start",NA,NA,NA
"1057",669302,2022,"start",NA,NA,NA
"1058",543475,2022,"start",NA,NA,NA
"1059",502043,2022,"start",NA,NA,NA
"1060",663554,2022,"start",NA,NA,NA
"1061",601713,2022,"start",NA,NA,NA
"1062",434378,2022,"start",NA,NA,NA
"1063",592332,2022,"start",NA,NA,NA
"1064",656302,2022,"start",NA,NA,NA
"1065",641154,2022,"start",NA,NA,NA
"1066",657006,2022,"start",NA,NA,NA
"1067",571945,2022,"start",NA,NA,NA
"1068",661269,2022,"start",NA,NA,NA
"1069",592789,2022,"start",NA,NA,NA
"1070",543243,2022,"start",NA,NA,NA
"1071",657140,2022,"start",NA,NA,NA
"1072",605200,2022,"start",NA,NA,NA
"1073",605397,2022,"start",NA,NA,NA
"1074",641540,2022,"start",NA,NA,NA
"1075",608566,2022,"start",NA,NA,NA
"1076",656605,2022,"start",NA,NA,NA
"1077",668676,2022,"start",NA,NA,NA
"1078",641745,2022,"start",NA,NA,NA
"1079",622663,2022,"start",NA,NA,NA
"1080",656876,2022,"none","long","none","low"
"1081",664062,2022,"start",NA,NA,NA
"1082",542881,2022,"start",NA,NA,NA
"1083",672710,2022,"start",NA,NA,NA
"1084",624522,2022,"none","none","none","none"
"1085",676596,2022,"none","long","RHH","low"
"1086",517008,2022,"late","short","none","high"
"1087",669211,2022,"none","none","RHH","low"
"1088",594311,2022,"none","short","RHH","low"
"1089",625643,2022,"none","short","none","high"
"1090",664299,2022,"none","long","LHH","low"
"1091",600921,2022,"middle","short","none","low"
"1092",570632,2022,"start",NA,NA,NA
"1093",664854,2022,"none","short","none","high"
"1094",592773,2022,"none","short","none","high"
"1095",641627,2022,"none","short","none","high"
"1096",453178,2022,"late","short","none","high"
"1097",607481,2022,"none","short","RHH","high"
"1098",572955,2022,"none","short","none","none"
"1099",664294,2022,"none","short","none","low"
"1100",519293,2022,"late","short","RHH","none"
"1101",606149,2022,"late","short","none","high"
"1102",571901,2022,"none","short","none","high"
"1103",501925,2022,"none","short","RHH","high"
"1104",662253,2022,"none","short","none","high"
"1105",605194,2022,"none","none","none","none"
"1106",640462,2022,"none","short","RHH","high"
"1107",676760,2022,"none","short","LHH","none"
"1108",543766,2022,"none","short","none","none"
"1109",676831,2022,"none","short","none","low"
"1110",670950,2022,"none","short","none","low"
"1111",573009,2022,"none","short","none","high"
"1112",595014,2022,"none","short","none","none"
"1113",608349,2022,"none","short","none","high"
"1114",573204,2022,"none","short","none","high"
"1115",572193,2022,"none","short","none","high"
"1116",621345,2022,"none","short","none","high"
"1117",519008,2022,"none","short","none","low"
"1118",453343,2022,"late","short","none","high"
"1119",608648,2022,"none","short","none","none"
"1120",552640,2022,"none","short","RHH","high"
"1121",612434,2022,"none","short","none","none"
"1122",607359,2022,"none","short","none","none"
"1123",598287,2022,"none","short","none","high"
"1124",453268,2022,"late","short","none","high"
"1125",519326,2022,"none","short","none","none"
"1126",663986,2022,"none","short","none","high"
"1127",667427,2022,"none","short","none","high"
"1128",642121,2022,"none","short","none","none"
"1129",621051,2022,"middle","short","none","none"
"1130",664948,2022,"none","short","none","low"
"1131",666808,2022,"late","short","none","high"
"1132",681799,2022,"none","short","RHH","low"
"1133",608723,2022,"none","none","none","low"
"1134",669395,2022,"none","short","none","high"
"1135",621237,2022,"none","short","RHH","high"
"1136",503285,2022,"none","short","RHH","none"
"1137",489265,2022,"none","short","none","none"
"1138",607237,2022,"none","short","none","none"
"1139",571948,2022,"none","short","none","none"
"1140",656986,2022,"middle","short","none","none"
"1141",607455,2022,"none","short","none","low"
"1142",622098,2022,"none","short","none","none"
"1143",676092,2022,"middle","short","none","high"
"1144",570257,2022,"none","short","none","low"
"1145",622251,2022,"none","short","none","high"
"1146",643338,2022,"none","short","none","high"
"1147",617228,2022,"middle","short","RHH","low"
"1148",501625,2022,"none","short","none","high"
"1149",670280,2022,"late","short","none","high"
"1150",547973,2022,"late","short","RHH","none"
"1151",542947,2022,"none","short","none","none"
"1152",621295,2022,"none","short","none","low"
"1153",493603,2022,"late","short","none","high"
"1154",656685,2022,"none","short","none","high"
"1155",605242,2022,"none","short","none","high"
"1156",570488,2022,"none","short","none","low"
"1157",676684,2022,"none","short","none","low"
"1158",456713,2022,"none","short","none","high"
"1159",459429,2022,"late","short","RHH","none"
"1160",680704,2022,"middle","short","RHH","high"
"1161",573124,2022,"late","short","RHH","high"
"1162",669622,2022,"none","short","none","high"
"1163",650895,2022,"late","short","none","high"
"1164",641682,2022,"none","short","none","low"
"1165",641729,2022,"none","short","none","low"
"1166",605280,2022,"none","short","none","high"
"1167",666204,2022,"late","short","none","high"
"1168",458677,2022,"none","short","none","none"
"1169",605154,2022,"none","short","none","high"
"1170",554340,2022,"none","short","none","high"
"1171",605447,2022,"late","short","none","high"
"1172",628452,2022,"late","short","none","high"
"1173",614179,2022,"none","short","none","low"
"1174",543238,2022,"none","short","RHH","low"
"1175",641835,2022,"none","short","none","high"
"1176",664123,2022,"none","short","none","high"
"1177",642130,2022,"none","short","none","low"
"1178",656420,2022,"none","short","none","high"
"1179",661403,2022,"late","short","none","high"
"1180",656354,2022,"none","short","none","low"
"1181",666168,2022,"none","short","none","low"
"1182",608032,2022,"late","short","none","high"
"1183",592662,2022,"start",NA,NA,NA
"1184",593423,2022,"start",NA,NA,NA
"1185",640455,2022,"start",NA,NA,NA
"1186",657277,2022,"start",NA,NA,NA
"1187",607644,2022,"start",NA,NA,NA
"1188",593958,2022,"start",NA,NA,NA
"1189",645261,2022,"start",NA,NA,NA
"1190",680686,2022,"start",NA,NA,NA
"1191",453286,2022,"start",NA,NA,NA
"1192",450203,2022,"start",NA,NA,NA
"1193",621111,2022,"start",NA,NA,NA
"1194",543135,2022,"start",NA,NA,NA
"1195",605400,2022,"start",NA,NA,NA
"1196",672282,2022,"start",NA,NA,NA
"1197",518876,2022,"start",NA,NA,NA
"1198",607536,2022,"start",NA,NA,NA
"1199",592351,2022,"start",NA,NA,NA
"1200",657746,2022,"start",NA,NA,NA
"1201",543037,2022,"start",NA,NA,NA
"1202",663556,2022,"start",NA,NA,NA
"1203",543606,2022,"start",NA,NA,NA
"1204",608337,2022,"start",NA,NA,NA
"1205",665665,2022,"none","short","none","none"
"1206",502179,2022,"none","none","none","low"
"1207",642545,2022,"none","none","none","none"
"1208",656546,2022,"none","short","none","low"
"1209",676477,2022,"none","none","none","none"
"1210",621244,2022,"start",NA,NA,NA
"1211",521230,2022,"late","short","none","high"
"1212",571800,2022,"none","long","none","low"
"1213",661395,2022,"late","short","none","high"
"1214",641755,2022,"none","short","none","high"
"1215",445276,2022,"late","short","none","high"
"1216",621082,2022,"middle","none","none","low"
"1217",623485,2022,"middle","none","none","none"
"1218",520980,2022,"late","short","none","low"
"1219",644364,2022,"middle","short","none","none"
"1220",608716,2022,"none","short","none","high"
"1221",650633,2022,"none","none","none","high"
"1222",605347,2022,"none","short","none","high"
"1223",571656,2022,"none","short","none","high"
"1224",641907,2022,"none","short","none","low"
"1225",518886,2022,"late","short","none","none"
"1226",664875,2022,"none","short","none","none"
"1227",669854,2022,"none","none","none","low"
"1228",650556,2022,"none","short","none","low"
"1229",605525,2022,"none","short","none","low"
"1230",543339,2022,"late","short","none","high"
"1231",650960,2022,"none","short","none","low"
"1232",657612,2022,"none","short","none","none"
"1233",518813,2022,"none","short","none","high"
"1234",656638,2022,"none","short","none","high"
"1235",544727,2022,"none","short","none","low"
"1236",664092,2022,"none","short","none","none"
"1237",643256,2022,"none","short","none","high"
"1238",642397,2022,"late","short","RHH","high"
"1239",656945,2022,"none","short","RHH","high"
"1240",672335,2022,"none","short","none","high"
"1241",664747,2022,"late","short","none","high"
"1242",623149,2022,"late","short","none","high"
"1243",606930,2022,"none","short","none","low"
"1244",622253,2022,"none","short","RHH","high"
"1245",607625,2022,"none","short","none","none"
"1246",656887,2022,"middle","none","none","low"
"1247",594577,2022,"none","short","none","none"
"1248",622554,2022,"none","short","none","high"
"1249",608638,2022,"none","short","RHH","none"
"1250",554431,2022,"none","short","none","none"
"1251",543272,2022,"none","short","RHH","high"
"1252",424144,2022,"none","short","none","low"
"1253",548384,2022,"none","short","none","high"
"1254",545343,2022,"none","short","none","low"
"1255",659275,2022,"none","none","none","low"
"1256",506433,2022,"start",NA,NA,NA
"1257",425844,2022,"start",NA,NA,NA
"1258",608331,2022,"start",NA,NA,NA
"1259",641816,2022,"start",NA,NA,NA
"1260",664285,2022,"start",NA,NA,NA
"1261",669203,2022,"start",NA,NA,NA
"1262",543294,2022,"start",NA,NA,NA
"1263",425794,2022,"start",NA,NA,NA
"1264",660271,2022,"start",NA,NA,NA
"1265",571578,2022,"start",NA,NA,NA
"1266",669456,2022,"start",NA,NA,NA
"1267",518516,2022,"start",NA,NA,NA
"1268",664141,2022,"start",NA,NA,NA
"1269",656731,2022,"start",NA,NA,NA
"1270",663474,2022,"start",NA,NA,NA
"1271",676879,2022,"none","long","RHH","low"
"1272",605130,2022,"late","short","none","high"
"1273",641394,2022,"none","short","RHH","high"
"1274",675911,2022,"start",NA,NA,NA
"1275",596133,2022,"none","long","none","low"
"1276",650893,2022,"none","short","none","high"
"1277",592858,2022,"none","short","none","high"
"1278",621242,2022,"late","short","none","high"
"1279",667465,2022,"none","short","none","low"
"1280",543507,2022,"late","short","none","low"
"1281",608717,2022,"none","short","none","high"
"1282",455119,2022,"none","short","none","high"
"1283",621249,2022,"none","short","none","high"
"1284",650671,2022,"none","short","none","high"
"1285",669022,2022,"start",NA,NA,NA
"1286",656793,2022,"none","none","none","low"
"1287",656061,2022,"none","short","none","low"
"1288",598264,2022,"none","short","none","high"
"1289",663465,2022,"none","long","RHH","low"
"1290",641447,2022,"none","long","RHH","low"
"1291",676766,2022,"none","short","none","low"
"1292",663455,2022,"none","long","RHH","low"
"1293",670712,2022,"late","short","none","low"
"1294",571863,2022,"none","short","none","low"
"1295",571479,2022,"none","short","none","none"
"1296",592473,2022,"none","short","none","low"
"1297",518748,2022,"none","short","none","low"
"1298",472610,2022,"none","short","none","high"
"1299",669424,2022,"none","short","none","none"
"1300",572403,2022,"none","short","RHH","high"
"1301",676637,2022,"none","none","none","low"
"1302",572070,2022,"none","none","none","low"
"1303",644429,2022,"none","short","none","low"
"1304",572383,2022,"middle","short","LHH","low"
"1305",656803,2022,"none","short","none","low"
"1306",456034,2022,"none","short","none","low"
"1307",658648,2022,"none","long","none","low"
"1308",640451,2022,"none","short","none","none"
"1309",477132,2022,"start",NA,NA,NA
"1310",572971,2022,"start",NA,NA,NA
"1311",666157,2022,"start",NA,NA,NA
"1312",663978,2022,"start",NA,NA,NA
"1313",605507,2022,"none","long","none","low"
"1314",605446,2022,"none","none","none","high"
"1315",643400,2022,"none","medium","RHH","low"
"1316",621074,2022,"none","short","none","none"
"1317",596071,2022,"none","none","RHH","none"
"1318",643377,2022,"none","short","none","high"
"1319",681911,2022,"none","short","none","none"
"1320",676664,2022,"start",NA,NA,NA
"1321",641778,2022,"start",NA,NA,NA
"1322",666374,2022,"none","short","none","none"
"1323",693821,2022,"start",NA,NA,NA
"1324",579328,2022,"start",NA,NA,NA
"1325",502171,2022,"start",NA,NA,NA
"1326",663738,2022,"start",NA,NA,NA
"1327",641771,2022,"none","long","LHH","low"
"1328",666200,2022,"start",NA,NA,NA
"1329",641302,2022,"none","none","RHH","none"
"1330",641482,2022,"start",NA,NA,NA
"1331",677651,2022,"start",NA,NA,NA
"1332",500779,2022,"start",NA,NA,NA
"1333",663776,2022,"start",NA,NA,NA
"1334",448179,2022,"start",NA,NA,NA
"1335",641712,2022,"start",NA,NA,NA
"1336",592767,2022,"start",NA,NA,NA
"1337",527048,2022,"start",NA,NA,NA
"1338",571760,2022,"start",NA,NA,NA
"1339",554430,2022,"start",NA,NA,NA
"1340",502042,2022,"start",NA,NA,NA
"1341",592826,2022,"none","long","none","low"
"1342",623451,2022,"none","short","none","low"
"1343",676720,2022,"none","none","none","low"
"1344",657093,2022,"start",NA,NA,NA
"1345",670124,2022,"none","long","none","low"
"1346",650911,2022,"none","long","RHH","low"
"1347",641743,2022,"none","none","RHH","low"
"1348",621248,2022,"none","short","none","low"
"1349",595881,2022,"middle","none","none","low"
"1350",543829,2022,"late","medium","RHH","low"
"1351",680739,2022,"none","none","none","low"
"1352",663855,2022,"none","short","none","high"
"1353",664076,2022,"none","short","none","low"
"1354",571976,2022,"late","short","RHH","low"
"1355",606303,2022,"none","short","none","none"
"1356",657044,2022,"none","short","RHH","high"
"1357",628708,2022,"none","short","none","low"
"1358",623167,2022,"start",NA,NA,NA
"1359",547179,2022,"none","none","LHH","low"
"1360",666201,2022,"start",NA,NA,NA
"1361",622072,2022,"start",NA,NA,NA
"1362",607259,2022,"none","short","none","none"
"1363",596295,2022,"start",NA,NA,NA
"1364",605288,2022,"start",NA,NA,NA
"1365",621368,2022,"none","none","RHH","none"
"1366",622694,2022,"none","long","LHH","none"
"1367",650644,2022,"start",NA,NA,NA
"1368",642028,2022,"none","none","RHH","low"
"1369",607391,2022,"none","none","none","none"
"1370",608379,2022,"start",NA,NA,NA
"1371",660623,2022,"start",NA,NA,NA
"1372",592791,2022,"start",NA,NA,NA
"1373",621112,2022,"start",NA,NA,NA
"1374",666159,2022,"start",NA,NA,NA
